地名,センター,燃やすごみ,燃やさないごみ,衣服・布,雑古紙,雑誌,びん・缶,その他プラ容器包装,ペットボトル,ごみ収集がない日
府所本町	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
文化橋町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
蓬莱町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
松原1丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
松原2丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
松原3丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
松原4丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
緑町1丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
緑町2丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
緑町3丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
南上野町	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
みなみ町	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
見野	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
睦町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
村井町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
樅山町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
茂呂	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
万町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
流通センター	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
