地名,センター,ごみ収集がない日,燃やすごみ,燃やさないごみ,衣服・布,雑古紙,雑誌,びん・缶,その他プラ容器包装,ペットボトル
引田,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
日吉町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
深岩,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
深津,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
深程,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
藤江町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
府中町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
府所町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
府所本町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
文化橋町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
蓬莱町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
松原1丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
松原2丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
松原3丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
松原4丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
緑町1丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
緑町2丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
緑町3丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
南上野町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
みなみ町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
見野,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
睦町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
村井町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
樅山町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
茂呂,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
万町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
流通センター,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
